section,lesson,lesson_description,word,is_sight_word,phonetic_symbol,letter_combination,source
3,35,Words with the Short-I Vowel Sound,sad,F,/ă/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,him,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,dim,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,rim,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,Kim,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,let,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,sit,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,in,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,den,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,six,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,fix,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,men,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,can,F,/ă/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,the,T,/ē/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,van,F,/ă/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,big,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,pig,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,dig,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,wig,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,tip,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,rip,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,lip,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,nip,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,zip,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,yip,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,hip,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,it,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,bid,F,/ĭ/,,OPG_Revised_Instructor.pdf
